year,marathon,country,finishers,meantime
2011,1/2 Sauer 1/2 Kraut Marathon,US,356,265.15384
2013,1/2 Sauer 1/2 Kraut Marathon,US,224,276.5625
2010,1/2 Sauer 1/2 Kraut Marathon,US,171,284.59689
2012,1/2 Sauer 1/2 Kraut Marathon,US,141,270.89386
2011,11-11-11 Marathon of Sarasota,US,66,301.16187
2011,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1897,294.94003
2012,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1781,293.62137
2008,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1675,308.89877
2010,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1675,295.52664
2013,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1535,287.92691
2009,26.2 with Donna: The National Marathon to Finish Breast Cancer,US,1243,291.38855
2013,3 Bridges Marathon,US,365,296.0195
2013,A Run Through Time,US,163,293.96646
2012,A Run Through Time,US,140,301.19547
2011,A Run Through Time,US,127,301.84528
2010,A Run Through Time,US,108,314.49829
2007,A Run Through Time,US,91,299.80878
2009,A Run Through Time,US,82,299.1683
2008,A Run Through Time,US,81,331.59875
2006,A Run Through Time,US,58,304.88217
2011,A2A Arbuckles to Ardmore Race for Mercy,US,274,285.47153
2012,A2A Arbuckles to Ardmore Race for Mercy,US,139,305.86368
2010,A2A Arbuckles to Ardmore Race for Mercy,US,128,254.68997
2013,A2A Arbuckles to Ardmore Race for Mercy,US,89,270.52078
2013,Abebe Bikila Day International Peace Marathon,US,86,258.53003
2002,Achilles Marathon,US,48,291.88263
2013,Adirondack Marathon,US,343,273.33789
2010,Adirondack Marathon,US,325,262.36026
2001,Adirondack Marathon,US,282,256.69055
2011,Adirondack Marathon,US,276,270.11871
2002,Adirondack Marathon,US,257,252.44572
2012,Adirondack Marathon,US,239,264.92371
2009,Adirondack Marathon,US,226,264.60538
2008,Adirondack Marathon,US,212,258.21115
2006,Adirondack Marathon,US,208,271.06891
2005,Adirondack Marathon,US,206,257.45081
2003,Adirondack Marathon,US,201,253.42281
2007,Adirondack Marathon,US,191,252.06056
2004,Adirondack Marathon,US,150,254.31134
2012,Air Force Marathon,US,3298,286.22278
2013,Air Force Marathon,US,3126,286.34006
2011,Air Force Marathon,US,2518,280.01627
2010,Air Force Marathon,US,2417,280.97525
2009,Air Force Marathon,US,2017,271.69159
2008,Air Force Marathon,US,1798,276.39377
2007,Air Force Marathon,US,1652,267.88705
2002,Air Force Marathon,US,1407,276.98282
2006,Air Force Marathon,US,1378,278.59113
2000,Air Force Marathon,US,1310,270.31088
2003,Air Force Marathon,US,1265,274.05374
2005,Air Force Marathon,US,1216,278.83017
2004,Air Force Marathon,US,1184,273.93661
2012,Akron Marathon,US,1628,264.02618
2013,Akron Marathon,US,1617,264.8812
2008,Akron Marathon,US,1582,261.76566
2010,Akron Marathon,US,1519,258.65936
2009,Akron Marathon,US,1427,261.72733
2011,Akron Marathon,US,1390,260.10559
2007,Akron Marathon,US,1165,251.47569
2006,Akron Marathon,US,1038,260.17828
2003,Akron Marathon,US,855,260.75754
2005,Akron Marathon,US,767,254.20844
2004,Akron Marathon,US,743,257.80286
2006,Alice Springs Marathon,Bermuda,37,241.90315
2013,Alice Springs Marathon,Bermuda,34,252.37303
2010,Alice Springs Marathon,Bermuda,32,244.85417
2012,Alice Springs Marathon,Bermuda,28,242.6006
2011,Alice Springs Marathon,Bermuda,25,248.42999
2011,Almond Bowl Marathon,US,48,261.91147
2013,Almond Bowl Marathon,US,37,271.38019
2012,Almond Bowl Marathon,US,30,271.97333
2007,Alpharetta Marathon,US,274,278.94879
2008,Alpharetta Marathon,US,106,258.65439
2012,American Birkebeiner Trail Run,US,117,290.50742
2013,American Birkebeiner Trail Run,US,109,269.84479
2011,American Birkebeiner Trail Run,US,81,281.64075
2010,American Birkebeiner Trail Run,US,73,270.55344
2011,American Discovery Trail Marathon,US,840,264.25784
2013,American Discovery Trail Marathon,US,440,267.69397
2012,American Discovery Trail Marathon,US,399,271.50726
2010,American Discovery Trail Marathon,US,377,273.14063
2009,American Discovery Trail Marathon,US,367,276.22821
2002,American Discovery Trail Marathon,US,279,274.60938
2003,American Discovery Trail Marathon,US,277,265.79904
2008,American Discovery Trail Marathon,US,251,282.11447
2001,American Discovery Trail Marathon,US,245,265.63803
2005,American Discovery Trail Marathon,US,205,276.12985
2006,American Discovery Trail Marathon,US,187,268.94357
2004,American Discovery Trail Marathon,US,183,269.02341
2007,American Discovery Trail Marathon,US,171,275.60028
2013,Amsterdam Marathon,Netherlands,11291,241.55136
2012,Amsterdam Marathon,Netherlands,10142,236.54552
2011,Amsterdam Marathon,Netherlands,9637,235.6438
2010,Amsterdam Marathon,Netherlands,7880,234.78882
2009,Amsterdam Marathon,Netherlands,6910,235.19553
2007,Amsterdam Marathon,Netherlands,6530,235.31044
2008,Amsterdam Marathon,Netherlands,5983,238.95895
2006,Amsterdam Marathon,Netherlands,5856,231.1174
2005,Amsterdam Marathon,Netherlands,5336,235.03372
2004,Amsterdam Marathon,Netherlands,4498,231.30774
2003,Amsterdam Marathon,Netherlands,3510,232.28131
2012,Andrew Jackson Marathon,US,151,279.27008
